id,country_id:id,name,code
base.state_th_001,base.th,Bangkok,EN-10
base.state_th_002,base.th,Amnat Charoen,EN-37
base.state_th_003,base.th,Ang Thong,EN-15
base.state_th_004,base.th,Bueng Kan,EN-38
base.state_th_005,base.th,Buriram,EN-31
base.state_th_006,base.th,Chachoengsao,EN-24
base.state_th_007,base.th,Chai Nat,EN-18
base.state_th_008,base.th,Chaiyaphum,EN-36
base.state_th_009,base.th,Chanthaburi,EN-22
base.state_th_010,base.th,Chiang Mai,EN-50
base.state_th_011,base.th,Chiang Rai,EN-57
base.state_th_012,base.th,Chonburi,EN-20
base.state_th_013,base.th,Chumphon,EN-86
base.state_th_014,base.th,Kalasin,EN-46
base.state_th_015,base.th,Kamphaeng Phet,EN-62
base.state_th_016,base.th,Kanchanaburi,EN-71
base.state_th_017,base.th,Khon Kaen,EN-40
base.state_th_018,base.th,Krabi,EN-81
base.state_th_019,base.th,Lampang,EN-52
base.state_th_020,base.th,Lamphun,EN-51
base.state_th_021,base.th,Loei,EN-42
base.state_th_022,base.th,Lopburi,EN-16
base.state_th_023,base.th,Mae Hong Son,EN-58
base.state_th_024,base.th,Maha Sarakham,EN-44
base.state_th_025,base.th,Mukdahan,EN-49
base.state_th_026,base.th,Nakhon Nayok,EN-26
base.state_th_027,base.th,Nakhon Pathom,EN-73
base.state_th_028,base.th,Nakhon Phanom,EN-48
base.state_th_029,base.th,Nakhon Ratchasima,EN-30
base.state_th_030,base.th,Nakhon Sawan,EN-60
base.state_th_031,base.th,Nakhon Si Thammarat,EN-80
base.state_th_032,base.th,Nan,EN-55
base.state_th_033,base.th,Narathiwat,EN-96
base.state_th_034,base.th,Nong Bua Lamphu,EN-39
base.state_th_035,base.th,Nong Khai,EN-43
base.state_th_036,base.th,Nonthaburi,EN-12
base.state_th_037,base.th,Pathum Thani,EN-13
base.state_th_038,base.th,Pattani,EN-94
base.state_th_039,base.th,Phang Nga,EN-82
base.state_th_040,base.th,Phatthalung,EN-93
base.state_th_041,base.th,Phayao,EN-56
base.state_th_042,base.th,Phetchabun,EN-67
base.state_th_043,base.th,Phetchaburi,EN-76
base.state_th_044,base.th,Phichit,EN-66
base.state_th_045,base.th,Phitsanulok,EN-65
base.state_th_046,base.th,Phra Nakhon Si Ayutthaya,EN-14
base.state_th_047,base.th,Phrae,EN-54
base.state_th_048,base.th,Phuket,EN-83
base.state_th_049,base.th,Prachinburi,EN-25
base.state_th_050,base.th,Prachuap Khiri Khan,EN-77
base.state_th_051,base.th,Ranong,EN-85
base.state_th_052,base.th,Ratchaburi,EN-70
base.state_th_053,base.th,Rayong,EN-21
base.state_th_054,base.th,Roi Et,EN-45
base.state_th_055,base.th,Sa Kaeo,EN-27
base.state_th_056,base.th,Sakon Nakhon,EN-47
base.state_th_057,base.th,Samut Prakan,EN-11
base.state_th_058,base.th,Samut Sakhon,EN-74
base.state_th_059,base.th,Samut Songkhram,EN-75
base.state_th_060,base.th,Saraburi,EN-19
base.state_th_061,base.th,Satun,EN-91
base.state_th_062,base.th,Sing Buri,EN-17
base.state_th_063,base.th,Sisaket,EN-33
base.state_th_064,base.th,Songkhla,EN-90
base.state_th_065,base.th,Sukhothai,EN-64
base.state_th_066,base.th,Suphan Buri,EN-72
base.state_th_067,base.th,Surat Thani,EN-84
base.state_th_068,base.th,Surin,EN-32
base.state_th_069,base.th,Tak,EN-63
base.state_th_070,base.th,Trang,EN-92
base.state_th_071,base.th,Trat,EN-23
base.state_th_072,base.th,Ubon Ratchathani,EN-34
base.state_th_073,base.th,Udon Thani,EN-41
base.state_th_074,base.th,Uthai Thani,EN-61
base.state_th_075,base.th,Uttaradit,EN-53
base.state_th_076,base.th,Yala,EN-95
base.state_th_077,base.th,Yasothon,EN-35
